Name,Address,City,State,Zip,Longitude,Latitude,Match Score
ACE Amandla Charter High School,6820 S Washtenaw Ave.,Chicago,IL,60629,-87.690731067066,41.769298832756,100
CEDA Uplift Harvey,53 E 154th St,Harvey,IL,60426,-87.652962965729,41.609937437628,100
Chicago Hope Academy,2189 W Bowler St,Chicago,IL,60612,-87.680721230656,41.870506751291,100
Collins Academy High School,1313 S Sacramento Dr,Chicago,IL,60623,-87.702027777071,41.86376317491,100
DRW College Prep,931 S Homan Ave,Chicago,IL,60624,-87.710612522303,41.869230145528,100
Enlace Chicago,2759 S. Harding Avenue,Chicago,IL,60623,-87.723178084811,41.840716796853,100
Excel Academy of Roseland,1257 W 111th St,Chicago,IL,60643,-87.65431597254,41.692182515604,100
Excel Academy of Southwest,7050 S Washtenaw Ave.,Chicago,IL,60629,-87.690625538906,41.76495017566,100
Golder College Prep,1454 W Superior St,Chicago,IL,60642,-87.664557065659,41.895224019836,100
Kuumba Lynx,4501 N Clarendon Ave,Chicago,IL,60640,-87.649932740093,41.963658529317,100
Manley Career Academy High School,2935 W Polk St,Chicago,IL,60612,-87.699095032969,41.871002498954,100
Muchin College Prep,1 N State St floor 7,Chicago,IL,60602,-87.627804850986,41.88259777235,100
North Lawndale College Prep,1615 S Christiana Ave,Chicago,IL,60623,-87.709085591002,41.858581440457,100
Northside Learning Center High School,3730 W Bryn Mawr Ave,Chicago,IL,60659,-87.721334317569,41.982951784499,100
Ombudsman Chicago West Campus,2401 W Congress Pkwy,Chicago,IL,60612,-87.686551011953,41.874956661777,100
Orr Academy,730 N Pulaski Rd,Chicago,IL,60624,-87.726070931054,41.894170959431,100
Pedro Albizu Campos High School,2739 W Division St,Chicago,IL,60622,-87.695999009393,41.902882480949,100
Phillipos Academy High School,244 E Pershing Rd,Chicago,IL,60653,-87.619857968586,41.823809995234,100
